lemma	acc	dat	BAN	ON	RA	VAL	UL	BA	RÓL	HOZ	BÓL	TÓL	NÁL	VÁ	IG	ÉRT	KÉNT	KOR	SZOR	NKÉNT	ADP	ADV	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
lop	0.272832334	0.012363181	0.101345209	0.132173547	0.007735334	0.001772039	0.005064435	-0.05511811	0.048071046	0.0	0.139287384	-0.009440601	0.0	-0.002624672	0.005203117	0.001956947	0.0	0.001289222	0.0	-0.002624672	0.105397784	-0.046052463	0	0	3	2	2	0	5	0	5	2	7	11	7	2	13	9	13	13
lát	0.092023351	-0.064099157	-0.132332503	-0.044645087	-0.032900594	0.330259644	-0.019931214	-0.004944376	-0.023189571	-0.007416564	-0.000347451	0.013842011	0.000473943	0.001295337	0.035507279	0.007772021	0.004656167	-0.002472188	0.0	0.0	0.018936895	-0.145024882	1	1	2	2	1	1	1	6	7	6	0	1	13	13	1	2	1	1
látogat	-0.345101878	-0.002824859	0.013838748	-0.029166412	0.151813213	0.000795448	-0.038594505	0.120444023	0.013813253	0.049919435	-0.000152971	-0.006904077	0.003610108	-0.001412429	-0.011926615	0.002355749	0.008479675	0.010203145	0.0	-0.002824859	0.060928226	-0.02474046	1	1	2	4	1	1	4	5	6	0	6	9	1	11	5	5	5	5
marad	-0.006012974	-0.042733216	-0.022985875	-0.058709645	-0.061456265	0.041467393	0.007930045	0.001098901	0.008480127	0.00094336	-0.029701944	0.243437575	-0.002975506	0.001098901	-0.043935811	0.002145955	-0.016214166	0.008635668	0.0	0.001098901	-0.009581558	-0.033219945	1	1	2	0	1	1	6	6	3	9	2	8	5	14	1	1	1	18
megy	-0.005161134	-0.019318879	-0.065865096	-0.040024054	-0.069473174	-0.016591765	-0.055512509	-0.076025657	6.56933e-05	0.024879225	0.009153264	0.016935391	-0.003865797	-0.002590674	0.002671527	0.011743938	-0.00388601	0.001320603	0.0	0.00130039	-0.047462555	-0.077423745	1	1	2	2	1	1	1	6	7	6	0	1	3	0	1	2	1	1
mesél	0.304609717	0.081430041	0.044908449	0.007992182	0.007418962	0.024831676	0.01989823	-0.001733754	-0.232351186	0.012084592	0.005685209	0.00732969	-0.001644482	0.0	0.016482406	0.004487086	0.008974172	0.004487086	0.0	-0.00311042	0.0063477	0.056072132	0	0	0	1	2	0	5	0	0	2	7	11	7	2	2	3	2	2
mond	-0.082841003	0.061308043	0.022958126	0.00282442	0.028010987	-0.016583748	0.017076078	-0.003472222	0.082944652	0.003731343	-0.004949212	-0.003472222	-0.002694859	0.0	0.001995232	-0.015365879	-0.003213101	-0.010416667	0.0	0.0	-0.019641376	-0.002694859	1	1	2	2	1	1	1	6	7	6	0	1	13	0	1	2	1	1
múlik	-0.006150062	-0.004920049	-0.015013047	-0.605660356	0.036153165	0.01573726	0.070329115	0.004672897	0.003442885	-0.001230012	0.002212873	0.008115782	-0.001230012	-0.001230012	-0.002460025	0.0	0.004672897	-0.002460025	0.0	-0.001230012	0.102792243	0.160286696	1	1	2	4	1	1	4	6	7	5	0	1	11	7	5	13	16	16
nevez	-0.080880772	-0.409665631	-0.03084755	0.017031131	0.009434054	-0.007421196	-0.019097731	-0.010135135	0.293635555	-8.30549e-05	-0.01021819	0.000960016	-0.001209181	0.001043071	-0.005713685	-0.001126126	0.001043071	-0.003378378	0.0	0.0	-0.003949991	0.045250239	1	1	2	4	4	3	2	1	1	7	11	2	6	4	4	7	4	4
nyer	0.260538894	0.001488854	-0.012707442	-0.052224826	-0.089028718	-0.018789682	-0.042611347	-0.015346955	-0.004223484	0.008690046	-0.014292735	0.004315959	-0.005109927	0.0	0.003638247	0.038456559	0.004391261	0.001187648	0.0	0.001187648	-0.081799783	0.065550533	0	0	0	2	2	0	1	0	0	2	7	11	7	2	2	3	2	2
olvas	0.045312595	-0.000905336	-0.19122434	-0.030562733	0.009704392	-0.054086221	-0.00173438	-0.002512563	-0.13860802	-0.003768844	-0.019541025	-0.001464814	-0.00725795	-0.001256281	-0.002721095	0.00153602	-0.003000834	0.00076801	0.0	-0.001256281	-0.011647305	0.058119545	1	1	2	2	1	1	1	6	7	5	0	1	3	0	1	13	1	1
pusztul	0.001538764	0.008152174	0.157052122	0.093111577	-0.005074646	-0.045115244	-0.065773965	-0.021378994	-0.003896019	0.0	0.024456522	0.029891304	0.013586957	0.002717391	0.005434783	-0.009330801	0.002717391	0.008152174	0.0	0.0	0.188122053	-0.221058146	0	1	3	2	1	2	5	2	5	1	2	4	12	9	13	9	13	13
pusztít	0.552216729	0.000992868	-0.253525693	-0.186780678	-0.004093046	-0.021275734	-0.019289998	0.005025126	0.001985735	0.0	0.030150754	-0.004032258	-0.003039391	0.0	-0.002046523	0.0	0.000992868	0.000992868	0.0	0.0	0.035743232	-0.052216729	0	0	0	1	2	0	0	0	0	10	1	7	2	2	10	3	10	10
rabol	0.1601703	0.0	0.084783087	0.08815973	0.008368201	-0.00822139	-0.075166997	0.0	0.036849446	-0.01754386	-0.009836306	0.03941863	0.012552301	0.0	0.0	0.0041841	0.008368201	0.0	0.0	0.0	0.128092197	-0.025471629	0	0	3	2	2	0	5	2	5	2	7	11	7	2	13	9	13	13
rendel	0.256576941	-0.025318189	0.144564449	0.151262703	-0.02216403	0.00376766	0.005105578	-0.052702178	-0.001947953	-0.068037975	-0.027630083	-0.034324871	0.018009899	-0.001582278	0.025434303	-0.005720812	0.000363941	0.005597765	0.0	0.00109529	0.126791978	-0.010249283	0	0	3	2	2	0	5	0	5	2	7	11	7	2	13	9	13	13
