level_0	ad	alszik	bocsát	bír	bírál	dönt	dől	enged	esik	felejt	fogad	foglal	fogy	fér	hagy	hangzik	határoz	helyez	helyezkedik	hisz	hoz	indul	indít	intéz	ismer	jut	jár	játszik	jön	kap	kel	kerül	kezd	képzel	kér	készít	készül	költ	köszön	követ	küld	lop	lát	látogat	marad	megy	mesél	mond	múlik	nevez	nyer	olvas	pusztul	pusztít	rabol	rendel	ront	szenved	számol	talál	tart	telik	temet	terjed	tesz	tér	tölt	tűnik	utasít	utazik	vesz	veszik	veszít	visel	visz	von	választ	válik	vállal	vár	végez	árul	ér	ítél	üt
tart	34	17	0	0	1	0	0	0	4	17	0	1	17	0	17	0	0	0	0	11	41	17	17	62	1	17	0	17	16	62	0	0	0	0	17	1	13	0	90	0	10	0	17	62	7	17	0	17	39	76	0	17	0	0	0	0	41	0	0	46	100	12	0	0	56	0	59	59	0	19	42	77	0	62	14	7	21	18	41	6	0	59	0	0	3
telik	70	89	0	9	51	0	37	30	71	89	29	59	89	37	88	38	0	10	0	76	61	88	88	40	51	88	38	77	90	40	0	0	25	11	89	48	82	0	6	25	95	25	89	40	74	89	12	89	63	31	16	88	38	0	28	26	61	25	11	56	12	100	47	36	46	0	43	30	0	83	59	30	16	40	93	72	55	57	61	69	12	43	25	0	68
temet	22	36	0	30	94	0	90	71	34	36	68	88	36	90	35	91	0	33	0	26	11	35	35	3	94	35	91	25	37	3	0	1	55	36	36	87	38	0	0	76	50	76	36	3	28	36	33	36	13	12	38	35	91	1	80	78	11	69	33	8	0	47	100	89	5	0	4	29	0	30	9	11	39	3	40	28	15	16	11	26	31	4	76	0	37
terjed	12	25	0	41	85	0	97	82	24	25	79	77	25	97	24	98	0	36	0	17	3	24	24	0	85	24	98	14	26	0	0	6	66	47	25	88	28	0	0	87	39	87	25	0	17	25	43	25	5	6	49	24	98	8	91	89	3	80	44	1	0	36	89	100	0	0	0	23	0	19	1	6	47	0	29	17	5	7	3	15	39	0	87	0	27
tesz	74	57	0	0	7	0	0	1	29	57	1	8	57	0	58	0	0	0	0	50	85	58	58	94	7	58	0	60	56	94	0	0	0	0	57	4	41	0	46	0	43	0	57	94	48	57	0	57	83	38	0	57	0	0	0	0	85	0	0	90	56	46	5	0	100	0	97	20	0	63	86	39	0	94	53	45	62	59	85	47	0	97	0	0	26
tér	0	0	83	0	0	0	0	0	28	0	0	0	0	0	0	0	0	53	83	0	0	0	0	0	0	0	0	0	0	0	83	1	0	0	0	0	12	83	8	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	1	83	0	1	0	0	0	0	19	19	18	0	19	0	0	0	83	28
tölt	71	54	0	0	5	0	0	0	26	54	0	6	54	0	55	0	0	0	0	47	82	55	55	97	5	55	0	57	53	97	0	0	0	0	54	3	38	0	49	0	40	0	54	97	45	54	0	54	80	37	0	54	0	0	0	0	82	0	0	87	59	43	4	0	97	0	100	20	0	60	83	38	0	97	50	42	59	56	82	44	0	100	0	0	23
tűnik	31	27	0	6	32	0	25	17	25	27	15	34	27	25	27	25	0	9	0	22	23	27	27	21	32	27	25	23	28	21	0	0	11	7	27	28	29	0	61	16	30	16	27	21	24	27	7	27	21	82	9	27	25	0	18	18	23	14	6	26	59	30	29	23	20	1	20	100	0	28	22	81	10	21	30	23	26	22	23	23	8	20	16	0	26
utasít	0	0	100	0	0	0	1	0	12	0	0	0	0	1	0	0	0	64	100	0	0	0	0	0	0	0	0	0	0	0	100	1	0	0	0	0	13	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	100	0	0	0	0	0	0	2	2	2	0	3	0	0	0	100	12
utazik	81	94	0	6	34	0	20	14	60	94	15	42	94	20	95	21	0	2	0	78	78	95	95	57	34	95	21	90	93	57	0	0	12	7	94	31	77	0	9	10	80	10	94	57	79	94	8	94	80	37	11	93	21	0	11	10	78	11	7	73	19	83	30	19	63	0	60	28	0	100	76	36	11	57	90	75	66	68	78	78	9	60	10	0	57
